,Date,SC_M1
1392,2018-05-13,351.87109375
623,2018-05-14,359.662109375
624,2018-05-15,361.9443359375
625,2018-05-16,352.9384765625
626,2018-05-17,338.828125
627,2018-05-18,343.80078125
1401,2018-05-19,353.8916015625
1393,2018-05-20,353.1494140625
628,2018-05-21,355.5302734375
629,2018-05-22,359.61181640625
630,2018-05-23,353.31640625
631,2018-05-24,338.91796875
632,2018-05-25,332.81640625
1403,2018-05-26,351.068359375
1394,2018-05-27,351.5146484375
1395,2018-05-28,351.3515625
633,2018-05-29,341.30078125
634,2018-05-30,343.4453125
635,2018-05-31,326.0828125
636,2018-06-01,356.8125
1404,2018-06-02,358.89453125
1397,2018-06-03,344.2421875
637,2018-06-04,341.54296875
638,2018-06-05,342.55126953125
639,2018-06-06,352.33203125
640,2018-06-07,357.96875
641,2018-06-08,358.6318359375
1406,2018-06-09,348.806640625
1399,2018-06-10,342.8046875
642,2018-06-11,342.08203125
643,2018-06-12,346.505859375
644,2018-06-13,345.5693359375
645,2018-06-14,354.958984375
646,2018-06-15,357.890625
1408,2018-06-16,352.6171875
1409,2018-06-17,343.07421875
647,2018-06-18,341.3193359375
648,2018-06-19,351.52197265625
649,2018-06-20,348.5419921875
650,2018-06-21,350.7138671875
651,2018-06-22,351.78515625
